Movie Id,Gender,All Ages,<18,18-29,30-44,45+
tt2267968,Males,7.1,7.3,7.2,7.0,6.9
tt2267968,Females,7.2,6.8,7.3,7.3,7.1
tt1229238,All,7.4,7.7,7.6,7.3,7.2
tt1229238,Males,7.4,7.8,7.6,7.3,7.2
tt1229238,Females,7.4,7.1,7.5,7.3,7.4
tt1446192,All,7.3,7.2,7.5,7.2,7.1
tt1446192,Males,7.1,7.2,7.3,7.0,7.0
tt1446192,Females,7.8,7.4,8.0,7.7,7.7
tt0369441,All,6.2,6.1,6.3,6.1,5.9
tt0369441,Males,6.1,6.1,6.3,6.1,5.9
tt0369441,Females,6.2,6.6,6.3,6.1,6.1
tt0325710,All,7.7,8.1,7.9,7.7,7.5
tt0325710,Males,7.7,8.1,8.0,7.7,7.5
tt0325710,Females,7.5,8.0,7.7,7.5,7.6
tt1528100,All,6.0,5.4,6.1,6.0,6.0
tt1528100,Males,6.0,5.8,6.1,6.0,6.0
tt1528100,Females,6.1,4.7,6.2,6.1,6.0
tt0796366,All,7.9,7.7,7.9,7.9,8.0
tt0796366,Males,7.9,7.7,7.9,7.9,7.9
tt0796366,Females,8.1,8.0,8.1,8.1,8.3
tt0145487,All,7.3,7.8,7.5,7.2,7.3
