IATA,Airport,Location,Area,Passenger Role,2010,2011,2012,2013,2014,2015,2016,2017
BNA,Nashville International Airport,Nashville,united_states,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13566537.0
BND,Bandar Abbas International Airport,Bandar Abbas,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNE,Brisbane Airport,Brisbane,oceania,Large,0.0,0.0,0.0,0.0,0.0,21918357.0,0.0,23205702.0
BNP,Bannu Airport,Bannu,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNX,Banja Luka International Airport,Banja Luka,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOC,"Bocas del Toro ""Isla Colón"" International Airport",Bocas del Toro,central_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOD,Mérignac Airport,Bordeaux,france,Medium,0.0,0.0,0.0,0.0,0.0,5289638.0,0.0,0.0
BOG,El Dorado International Airport,Bogotá,south_america,Large,18934203.0,20427603.0,0.0,25009483.0,0.0,0.0,0.0,0.0
BOH,Bournemouth Airport,Bournemouth,united_kingdom,Small,0.0,0.0,0.0,0.0,0.0,705403.0,0.0,0.0
BOJ,Burgas Airport,Burgas,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOM,Chhatrapati Shivaji International Airport,Mumbai,south_asia,Large,28137797.0,30439122.0,30038696.0,31940026.0,34993738.0,40637377.0,44978526.0,47204259.0
BON,Flamingo International Airport,"Kralendijk, Bonaire",carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,462897.0,0.0,0.0
BOO,Bodø Airport,Bodø,nordics,Small,0.0,0.0,0.0,0.0,0.0,1733330.0,0.0,0.0
BOS,Logan International Airport,Boston,united_states,Large,27429152.0,28866313.0,0.0,0.0,0.0,0.0,0.0,38412419.0
BOY,Bobo Dioulasso Airport,Bobo-Dioulasso,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPN,Sultan Aji Muhammad Sulaiman Airport,Balikpapan,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQE,Bubaque Airport,Bubaque,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQN,Rafael Hernández Airport,Aguadilla,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,471228.0,0.0,0.0
BQS,Ignatyevo Airport,Blagoveshchensk,russia,Non-Hub,0.0,0.0,0.0,0.0,0.0,362953.0,0.0,0.0
BRC,Teniente Luis Candelaria International Airport,San Carlos de Bariloche,south_america,Small,0.0,0.0,0.0,0.0,0.0,1038651.0,0.0,0.0
BRE,Bremen Airport,Bremen,germany,Small,0.0,0.0,0.0,0.0,0.0,2660754.0,0.0,0.0
BRI,Palese Airport,Bari,italy,Medium,0.0,0.0,0.0,0.0,0.0,3958815.0,0.0,0.0
BRN,Bern-Belp Airport,Bern,switzerland,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRQ,Brno-Tuřany Airport,Brno,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRS,Bristol Airport,Bristol,united_kingdom,Medium,5747604.0,5780746.0,5921530.0,6131896.0,6339805.0,6786790.0,7610780.0,8100000.0
BRU,Brussels Airport,Brussels,belgium,Large,17180606.0,18786034.0,18971332.0,19133222.0,21933190.0,23460018.0,21818418.0,24783911.0
BRX,María Montez International Airport,Barahona,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSA,Bosaso Airport,Bosaso,horn_of_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSK,Biskra Airport,Oumache,north_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSL,Basel-Mulhouse-Freiburg Airport,Mulhouse,france,Medium,0.0,0.0,0.0,0.0,0.0,7061059.0,0.0,0.0
BSR,Basra International Airport,Basra,middle_east,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTK,Bratsk Airport,Bratsk,russia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS,M. R. Štefánik Airport,Bratislava,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUD,Budapest Ferenc Liszt International Airport,Budapest,hungary,Medium,0.0,0.0,0.0,0.0,0.0,10298963.0,11500000.0,13097239.0
BUF,Buffalo Niagara International Airport,Buffalo,united_states,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4670000.0
BUQ,Joshua Mqabuko Nkomo International Airport,Bulawayo,southern_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUS,Batumi International Airport,Batumi,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVA,Beauvais-Tillé Airport,Beauvais,france,Medium,2931796.0,3677794.0,3862562.0,3952908.0,4024201.0,4330019.0,0.0,0.0
BVC,Aristides Pereira International Airport,Boa Vista Island,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,Gautam Buddha Airport,Siddharthanagar,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWI,Baltimore-Washington International Thurgood Marshall Airport,Baltimore,united_states,Large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26369411.0
BWN,Brunei International Airport,Bandar Seri Begawan,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYJ,Beja Airport,Beja,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZE,Philip S. W. Goldson International Airport,Belize City,central_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,europe_misc,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZK,Bryansk International Airport,Bryansk,russia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZR,Béziers Cap d'Agde Airport,Béziers,france,Non-Hub,0.0,0.0,0.0,0.0,243980.0,0.0,0.0,0.0
BZV,Maya-Maya Airport,Brazzaville,central_africa,Small,0.0,0.0,0.0,0.0,1294863.0,0.0,986077.0,0.0
CAG,Cagliari Airport,Cagliari,italy,Medium,0.0,0.0,0.0,0.0,0.0,3719289.0,3689747.0,0.0
CAI,Cairo International Airport,Cairo,north_africa,Medium,16148480.0,13037541.0,14729300.0,13773560.0,14678066.0,0.0,16468082.0,15959076.0
CAK,Akron–Canton Airport,Akron,united_states,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265844.0
